name,row,anio,entidad_universitaria,anexo_1,anexo_2,anexo_3,anexo_4,anexo_5,anexo_6,anexo_7,anexo_8,anexo_9,anexo_10,anexo_11,anexo_12,anexo_13,anexo_14,anexo_15,anexo_16,anexo_17,anexo_18,anexo_19
Anexo 1994 - 1 - CUCEA,1,1994,CUCEA,13421,231,648,,10,3,3,,,17744,16670,137,20055.00,26732540.00,,,1,6,
Anexo 2019 - 2 - CUCEA,2,2019,CUCEA,20267,463,698,,14,,20,6,,74500,164989,233,71369.73,593781440.00,2351,1792,1,112,
Anexo 2020 - 3 - CUCEA,3,2020,CUCEA,21746,456,686,,14,,18,6,,77278,175298,233,71369.73,611172194.00,2941,682,1,126,
Anexo 2021 - 4 - CUCEA,4,2021,CUCEA,22530,429,590,,14,,17,6,,80009,167196,233,71369.73,633700218.00,2672,1890,1,125,
Anexo 2022 - 5 - CUCEA,5,2022,CUCEA,22468,410,571,,14,,17,7,,81405,174306,229,71369.73,646334116.00,3644,2658,1,142,
Anexo 2023 - 6 - CUCEA,6,2023,CUCEA,23123,413,588,1,14,,20,7,,82448,175828,229,71369.73,698134673.00,3307,2093,1,182,
Anexo 2024 - 7 - CUCEA,7,2024,CUCEA,24424,377,587,1,15,,17,8,,78248,166325,227,32600.00,722945171.60,3167,2907,1,197,
Anexo 2025 - 8 - CUCEA,8,2025,CUCEA,24808,410,659,1,16,,19,7,,86221,171523,227,32600.00,760110884.00,3631,3878,1,201,
Anexo 1994 - 9 - CUCS,9,1994,CUCS,10030,329,1151,1,5,,4,4,,9229,11339,95,32515.00,49319790.00,,,1,23,
Anexo 2019 - 10 - CUCS,10,2019,CUCS,18636,547,1275,5,8,69,14,9,1,31419,70593,201,65828.46,839164529.00,3362,2529,1,243,
Anexo 2020 - 11 - CUCS,11,2020,CUCS,19248,546,1249,5,8,71,15,9,1,31912,71856,221,68018.46,859809194.00,4921,2282,1,255,
Anexo 2021 - 12 - CUCS,12,2021,CUCS,18457,532,1169,5,8,54,14,9,1,32018,72040,191,68693.10,856475258.00,3340,3342,1,256,
Anexo 2022 - 13 - CUCS,13,2022,CUCS,19289,508,1131,5,9,63,11,9,1,33294,66831,191,68753.32,897748541.00,3374,3201,1,285,
Anexo 2023 - 14 - CUCS,14,2023,CUCS,19581,507,1119,5,9,60,16,10,1,32937,67096,191,24116.65,920792004.00,4796,3295,1,320,
Anexo 2024 - 15 - CUCS,15,2024,CUCS,19951,491,1095,5,9,72,16,10,1,31868,65045,173,67097.07,939369568.00,4173,3584,1,348,
Anexo 2025 - 16 - CUCS,16,2025,CUCS,20289,527,1032,4,14,77,16,11,1,26706,61943,161,65450.13,971788079.00,5805,4481,1,356,
Anexo 1994 - 17 - CUAAD,17,1994,CUAAD,2902,133,439,,11,,4,,,3713,6024,37,22600.00,20738590.00,,,1,2,
Anexo 2019 - 18 - CUAAD,18,2019,CUAAD,7813,215,455,,13,,11,2,1,61473,95175,197,52094.00,338198373.00,810,461,3,41,
Anexo 2020 - 19 - CUAAD,19,2020,CUAAD,8078,206,445,,13,,11,2,1,61659,95361,197,52094.00,351413196.00,1593,204,3,43,
Anexo 2021 - 20 - CUAAD,20,2021,CUAAD,8190,199,402,,13,,11,2,1,63909,100662,200,52094.00,356239574.00,916,625,3,44,
Anexo 2022 - 21 - CUAAD,21,2022,CUAAD,8118,193,410,,13,,12,3,1,60481,97859,253,62412.00,368443516.00,929,752,3,48,
Anexo 2023 - 22 - CUAAD,22,2023,CUAAD,8089,187,405,,13,,10,3,1,58269,98976,256,20855.10,387333876.00,1210,685,3,59,
Anexo 2024 - 23 - CUAAD,23,2024,CUAAD,8233,178,399,,13,,11,3,1,59170,101173,245,60999.00,414438834.00,732,725,3,64,
Anexo 2025 - 24 - CUAAD,24,2025,CUAAD,8478,187,389,,13,,12,3,1,59689,102359,253,60999.00,423888540.00,1455,1184,3,66,
Anexo 1994 - 25 - SEMS,25,1994,SEMS,85011,952,2606,,32,,,,,104489,174788,1023,228613.00,175686780.00,,,85,0,
Anexo 2019 - 26 - SEMS,26,2019,SEMS,158229,1316,5413,,30,,,,,512736,932050,2484,495212.86,2717249953.00,43261,175,174,0,
Anexo 2020 - 27 - SEMS,27,2020,SEMS,169602,1245,5263,,30,,,,,517789,945154,2529,514623.52,2785265305.00,45682,36,174,3,
Anexo 2021 - 28 - SEMS,28,2021,SEMS,181426,1163,4886,,30,,,,,537782,1009747,2631,551645.37,2815286038.00,45377,229,175,4,
Anexo 2022 - 29 - SEMS,29,2022,SEMS,184604,1100,4909,,30,,,,,539202,997834,2637,604649.80,2887994447.00,73645,181,175,7,
Anexo 2023 - 30 - SEMS,30,2023,SEMS,188085,1017,4880,,30,,,,,547927,1020200,2654,619639.60,3257314875.00,45884,298,175,7,
Anexo 2024 - 31 - SEMS,31,2024,SEMS,189655,987,4847,,30,,,,,544666,1014520,2745,690562.06,3449120135.00,46300,112,176,11,
Anexo 2025 - 32 - SEMS,32,2025,SEMS,188059,930,4812,,30,,,,,556314,1032284,2790,709777.31,3691108192.00,49174,426,177,7,
Anexo 1994 - 33 - CUCEI,33,1994,CUCEI,11168,461,700,,15,,13,3,,17976,22832,188,32566.00,46650110.00,,,1,31,
Anexo 2019 - 34 - CUCEI,34,2019,CUCEI,15680,559,555,,18,,14,6,,40364,119621,226,90666.47,647015891.00,1859,1105,1,274,
Anexo 2020 - 35 - CUCEI,35,2020,CUCEI,17274,551,535,,18,,15,8,,44209,126549,226,90904.47,646793651.00,2857,733,1,285,
Anexo 2021 - 36 - CUCEI,36,2021,CUCEI,18112,533,510,,18,,14,8,,41873,119125,229,92850.00,660037912.00,1897,1338,1,286,
Anexo 2022 - 37 - CUCEI,37,2022,CUCEI,18555,518,506,,18,,14,9,,48693,125826,229,92850.00,698015018.00,2066,1537,1,284,
Anexo 2023 - 38 - CUCEI,38,2023,CUCEI,18735,505,499,1,18,,16,10,,56101,121292,229,35454.00,719321434.00,2140,1631,1,340,
Anexo 2024 - 39 - CUCEI,39,2024,CUCEI,20148,483,500,5,20,,19,11,,56456,121991,229,96044.86,767315687.00,3564,1953,1,353,
Anexo 2025 - 40 - CUCEI,40,2025,CUCEI,20683,492,539,4,23,,20,11,,51742,136595,229,96358.00,818892626.00,2335,2800,1,346,
Anexo 1994 - 41 - CUCSH,41,1994,CUCSH,8085,486,597,,11,,9,2,,31128,37834,152,25628.00,42895750.00,,,1,58,
Anexo 2019 - 42 - CUCSH,42,2019,CUCSH,12084,648,466,,15,,16,8,,174337,264220,237,57137.00,686700685.00,2463,1183,2,195,
Anexo 2020 - 43 - CUCSH,43,2020,CUCSH,12943,639,443,,15,,15,8,,178996,275230,236,57137.00,707379732.00,1652,614,2,202,
Anexo 2021 - 44 - CUCSH,44,2021,CUCSH,13268,613,431,,15,,18,8,,173571,270713,274,63228.60,726805669.00,1372,1367,2,204,
Anexo 2022 - 45 - CUCSH,45,2022,CUCSH,13036,595,397,,15,,19,6,,179699,268559,261,57137.00,727115392.00,1889,1357,2,210,
Anexo 2023 - 46 - CUCSH,46,2023,CUCSH,12599,570,376,,15,,19,7,,180527,270237,191,47044.80,739271471.00,2714,1544,1,229,
Anexo 2024 - 47 - CUCSH,47,2024,CUCSH,12486,537,365,,15,,21,8,,197848,312529,191,47044.80,778628709.40,1900,2056,1,244,
Anexo 2025 - 48 - CUCSH,48,2025,CUCSH,11779,529,341,,15,,20,8,,200537,329175,193,51264.80,799877441.00,2933,2549,1,254,
Anexo 2000 - 49 - CUNORTE,49,2000,CUNORTE,121,5,0,,4,,1,,,1200,2500,8,1010.94,10033363.00,,,1,0,
Anexo 2019 - 50 - CUNORTE,50,2019,CUNORTE,4751,71,338,,12,,4,,,28487,82323,52,53912.70,148209691.00,457,226,1,17,
Anexo 2020 - 51 - CUNORTE,51,2020,CUNORTE,4080,75,330,,13,,6,,,30733,86668,49,57879.41,143705540.00,496,243,1,16,
Anexo 2021 - 52 - CUNORTE,52,2021,CUNORTE,3716,75,307,,13,,6,,,32912,97755,52,59103.41,155875833.00,307,334,1,17,
Anexo 2022 - 53 - CUNORTE,53,2022,CUNORTE,3649,74,297,,14,,6,,,36572,106547,54,59103.41,154629669.00,681,502,1,25,
Anexo 2023 - 54 - CUNORTE,54,2023,CUNORTE,3917,73,284,,13,,6,,,37735,111001,50,60000.41,156849303.00,652,421,1,30,
Anexo 2024 - 55 - CUNORTE,55,2024,CUNORTE,3646,81,277,,13,,6,,,38359,113142,44,45247.45,171789575.00,745,630,1,35,
Anexo 2025 - 56 - CUNORTE,56,2025,CUNORTE,4064,89,268,,15,,6,,,36344,114328,44,46749.25,183749324.00,590,571,1,33,
Anexo 2012 - 57 - CUTONALÁ,57,2012,CUTONALÁ,1747,19,69,,12,,4,2,,856,1409,34,5709.00,39598559.00,,,1,0,
Anexo 2019 - 58 - CUTONALÁ,58,2019,CUTONALÁ,7219,164,332,,14,,5,3,,22069,48344,131,79527.00,218243714.00,799,205,1,68,
Anexo 2020 - 59 - CUTONALÁ,59,2020,CUTONALÁ,7884,169,378,,15,,4,4,,23794,52621,180,79527.00,229720173.00,785,243,1,67,
Anexo 2021 - 60 - CUTONALÁ,60,2021,CUTONALÁ,8198,170,306,,15,,4,4,,21420,52156,180,79527.00,250345154.00,833,415,1,66,
Anexo 2022 - 61 - CUTONALÁ,61,2022,CUTONALÁ,8678,176,320,,15,2,7,4,,22607,55464,175,81420.00,271071658.00,1079,701,1,74,
Anexo 2023 - 62 - CUTONALÁ,62,2023,CUTONALÁ,8991,181,348,,15,,8,5,,26802,63584,175,46762.48,276874520.00,2055,897,1,98,
Anexo 2024 - 63 - CUTONALÁ,63,2024,CUTONALÁ,9406,188,348,,16,2,8,5,,25423,64657,173,77857.85,312832950.00,1451,1053,1,105,
